City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lagoa,31,PT,1611965951,78,39.05,-27.9833,59.23,11.7
1,Atuona,6,PF,1611965952,75,-9.8,-139.0333,78.71,18.52
2,Severo-Kuril'sk,99,RU,1611965952,91,50.6789,156.125,22.59,15.35
3,Mataura,36,NZ,1611965990,44,-46.1927,168.8643,64.92,2.28
4,Katsuura,20,JP,1611965990,36,35.1333,140.3,41.0,16.11
5,Jamestown,90,US,1611965990,86,42.097,-79.2353,21.0,11.5
6,Punta Arenas,90,CL,1611965813,66,-53.15,-70.9167,48.2,16.11
7,Mehamn,100,NO,1611965991,96,71.0357,27.8492,22.55,17.31
8,Avarua,71,CK,1611965722,66,-21.2078,-159.775,86.0,6.91
9,Albany,40,US,1611965823,69,42.6001,-73.9662,14.0,1.99
10,Muros,100,ES,1611965991,81,42.7762,-9.0603,57.99,8.99
11,Chilca,0,PE,1611965991,68,-12.5211,-76.7372,73.4,13.8
12,Yellowknife,20,CA,1611965991,76,62.456,-114.3525,-16.01,6.91
13,Chokurdakh,100,RU,1611965992,86,70.6333,147.9167,-26.0,7.99
14,Maceió,75,BR,1611965992,94,-9.6658,-35.7353,77.0,2.3
15,Ahipara,13,NZ,1611965992,67,-35.1667,173.1667,67.17,8.63
16,Butaritari,95,KI,1611965992,75,3.0707,172.7902,80.82,16.46
17,Mar del Plata,0,AR,1611965786,73,-38.0023,-57.5575,69.8,3.44
18,Cape Town,20,ZA,1611965702,77,-33.9258,18.4232,70.0,9.22
19,Tilichiki,91,RU,1611965992,93,60.4667,166.1,-2.36,11.65
20,Husavik,90,IS,1611965993,86,66.0449,-17.3389,30.2,3.44
21,Amazar,11,RU,1611965993,77,53.858,120.875,-34.85,2.21
22,Kavaratti,23,IN,1611965993,73,10.5669,72.642,80.35,10.29
23,Qaanaaq,0,GL,1611965993,62,77.484,-69.3632,-14.67,5.17
24,Homer,1,US,1611965994,80,59.6425,-151.5483,28.99,7.47
25,Egvekinot,1,RU,1611965994,85,66.3167,-179.1667,-20.74,8.55
26,Hilo,90,US,1611965994,83,19.7297,-155.09,73.4,4.61
27,Naze,75,JP,1611965994,58,28.3667,129.4833,57.2,10.36
28,Kiryat Gat,34,IL,1611965994,100,31.61,34.7642,51.01,10.94
29,Hobart,40,AU,1611965704,68,-42.8794,147.3294,75.99,8.05
30,Rikitea,51,PF,1611965995,65,-23.1203,-134.9692,80.38,5.82
31,Zorritos,35,PE,1611965995,76,-3.6805,-80.6782,78.76,11.65
32,Thompson,90,CA,1611965995,79,55.7435,-97.8558,10.4,4.61
33,Ushuaia,75,AR,1611965995,75,-54.8,-68.3,42.8,20.71
34,Pevek,46,RU,1611965904,86,69.7008,170.3133,-29.79,3.0
35,Codrington,100,AU,1611965996,75,-38.2667,141.9667,61.88,10.33
36,Bredasdorp,61,ZA,1611965824,81,-34.5322,20.0403,65.73,4.25
37,Quatre Cocos,40,MU,1611965996,78,-20.2078,57.7625,80.6,8.05
38,Nikolskoye,75,RU,1611965996,93,59.7035,30.7861,32.0,8.95
39,Bengkulu,100,ID,1611965996,85,-3.8004,102.2655,75.4,4.34
40,Salalah,75,OM,1611965996,60,17.0151,54.0924,71.6,4.61
41,Zyryanka,100,RU,1611965996,86,65.75,150.85,-23.46,11.1
42,Hithadhoo,49,MV,1611965997,76,-0.6,73.0833,81.34,10.85
43,Joensuu,90,FI,1611965997,86,62.6012,29.7632,25.0,9.22
44,Klaksvík,90,FO,1611965997,74,62.2266,-6.589,32.0,3.44
45,Port Alfred,3,ZA,1611965997,89,-33.5906,26.891,64.99,1.99
46,Norman Wells,20,CA,1611965997,75,65.282,-126.8329,-32.8,5.12
